               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093201,             0.04478,                   0,           0.0025767,             0.73913,           0.0065153,           0.0019138,            0.066877,            0.018814,                   0,            0.070291,            0.003301,            0.003301
                   1,            0.067683,            0.024897,                   0,            0.016106,             0.73913,             0.11909,            0.031163,            0.054508,            0.012767,                   0,            0.039963,           0.0063059,           0.0063059
                   2,            0.059235,            0.020199,                   0,             0.14029,             0.69565,             0.25488,             0.08015,            0.053412,           0.0098493,                   0,           0.0093045,           0.0089808,           0.0089808
                   3,             0.05415,            0.016947,                   0,             0.28612,             0.56522,             0.28419,             0.10184,             0.04992,           0.0082028,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.049104,            0.016317,                   0,             0.51396,             0.50617,             0.53373,              0.2757,            0.045429,           0.0073617,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.044394,            0.013969,                   0,             0.52902,             0.73913,             0.56591,              0.2475,            0.041525,           0.0061569,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.042143,            0.012537,                   0,             0.80729,             0.72894,             0.83248,             0.43374,             0.03801,           0.0056925,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.03976,            0.011002,                   0,             0.80686,             0.91304,             0.85624,             0.47923,            0.033606,           0.0053374,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.038009,            0.010665,                   0,             0.91328,             0.82609,             0.94397,             0.47272,            0.035012,            0.005025,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.036364,           0.0098868,                   0,             0.95427,             0.90749,               0.959,             0.53813,            0.033638,           0.0048654,                   0,             0.00604,             0.00604,             0.00604
                  10,             0.03407,           0.0099596,                   0,             0.91546,             0.94207,             0.96131,             0.55983,            0.030192,           0.0047518,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.032535,           0.0090604,                   0,              0.9158,             0.94609,             0.96925,             0.54172,            0.033163,           0.0046245,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.032185,           0.0087966,                   0,             0.91528,              0.9399,             0.96222,             0.51494,            0.031953,           0.0045372,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.029531,           0.0084623,                   0,              0.8653,             0.86957,             0.92756,             0.56755,            0.029045,           0.0045153,                   0,             0.00406,             0.00406,             0.00406
                  14,             0.02858,           0.0084989,                   0,             0.91599,             0.94839,             0.97211,             0.55539,            0.030648,           0.0045269,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.02712,           0.0080712,                   0,             0.98736,             0.91304,             0.97955,             0.56963,            0.027805,           0.0043429,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.02655,           0.0083862,                   0,             0.98542,             0.91304,              0.9886,             0.55994,            0.030105,           0.0042517,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.026176,           0.0079751,                   0,             0.99123,             0.91304,              0.9886,             0.59356,            0.027291,           0.0042275,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.025091,           0.0079145,                   0,             0.98828,             0.91304,             0.98574,             0.57828,            0.026985,           0.0042206,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.024654,           0.0075665,                   0,             0.98389,             0.91304,             0.98574,             0.58354,            0.026292,           0.0041527,                   0,             0.00109,             0.00109,             0.00109
