epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,144.155,1.48448,3.19663,3.00148,1.59846,0,0.47712,0.40626,0.39991,0.28447,0.47923,0.40558,0.39674,0.28778,1.55883,3.1164,2.52058,1.70529,0,0.000332386,0.000332386,0.000332386
2,279.639,1.47348,2.88259,2.43504,1.55443,0,0.43502,0.46653,0.42176,0.28905,0.42937,0.46238,0.41288,0.29269,1.63974,3.16774,2.41962,1.70887,0,0.000643751,0.000643751,0.000643751
3,409.607,1.45543,2.82962,2.27899,1.54663,0,0.40656,0.49894,0.47607,0.33116,0.41746,0.49595,0.47212,0.31695,1.59735,2.99178,2.27914,1.72171,0,0.000933116,0.000933116,0.000933116
4,535.762,1.45836,2.82257,2.17174,1.52304,0,0.55132,0.50764,0.48072,0.34399,0.56137,0.50535,0.47628,0.34217,1.60088,2.98339,2.16672,1.72718,0,0.000901,0.000901,0.000901
5,660.319,1.39769,2.7209,2.03987,1.49352,0,0.70097,0.50584,0.54052,0.39858,0.69308,0.50432,0.53012,0.38736,1.48264,2.79058,1.96945,1.60226,0,0.000868,0.000868,0.000868
6,785.936,1.37113,2.66246,1.9689,1.47254,0,0.52347,0.52522,0.53808,0.38559,0.6309,0.47301,0.53324,0.38337,1.51401,2.71242,1.99927,1.62175,0,0.000835,0.000835,0.000835
7,910.714,1.33565,2.57295,1.88175,1.4502,0,0.57968,0.52969,0.53301,0.3911,0.59401,0.52427,0.53226,0.39785,1.47667,2.7034,1.97351,1.5962,0,0.000802,0.000802,0.000802
8,1033.06,1.31652,2.55561,1.82423,1.4227,0,0.60296,0.57492,0.59044,0.4372,0.60145,0.57237,0.58004,0.42711,1.40413,2.61858,1.75216,1.52156,0,0.000769,0.000769,0.000769
9,1154.79,1.28189,2.47231,1.74541,1.4179,0,0.62799,0.56004,0.58768,0.44141,0.60468,0.55601,0.57176,0.42898,1.37938,2.65491,1.79968,1.52106,0,0.000736,0.000736,0.000736
10,1278.77,1.25206,2.43593,1.69964,1.39042,0,0.62771,0.58264,0.60413,0.45406,0.62504,0.56807,0.58817,0.43553,1.37962,2.66626,1.71131,1.50694,0,0.000703,0.000703,0.000703
11,1403.15,1.24684,2.41713,1.66758,1.38545,0,0.55593,0.61422,0.60929,0.46512,0.58629,0.59868,0.59924,0.45198,1.36788,2.53372,1.69326,1.49917,0,0.00067,0.00067,0.00067
12,1528.75,1.22838,2.36918,1.63536,1.3709,0,0.6038,0.61046,0.6221,0.47354,0.60332,0.61048,0.61452,0.46316,1.32907,2.49905,1.65955,1.47335,0,0.000637,0.000637,0.000637
13,1652.81,1.21425,2.31359,1.57734,1.35739,0,0.61476,0.60461,0.62539,0.47662,0.61246,0.59785,0.61675,0.45904,1.3329,2.44426,1.60229,1.46113,0,0.000604,0.000604,0.000604
14,1775.88,1.19314,2.309,1.56037,1.34594,0,0.58508,0.63863,0.62112,0.46592,0.58767,0.61963,0.60817,0.45106,1.32869,2.45451,1.62497,1.48471,0,0.000571,0.000571,0.000571
15,1898.67,1.17139,2.26852,1.51295,1.33048,0,0.641,0.61006,0.63157,0.48274,0.63367,0.60006,0.61734,0.46931,1.30028,2.41259,1.57142,1.44213,0,0.000538,0.000538,0.000538
16,2023.84,1.15982,2.2399,1.48598,1.3217,0,0.67548,0.59785,0.63943,0.48906,0.66681,0.59288,0.62688,0.47487,1.30806,2.41782,1.61563,1.45655,0,0.000505,0.000505,0.000505
17,2149.71,1.14066,2.19397,1.45253,1.30722,0,0.61142,0.64285,0.65939,0.50181,0.62638,0.62824,0.64797,0.48896,1.30084,2.3694,1.59387,1.46619,0,0.000472,0.000472,0.000472
18,2276.24,1.13536,2.18344,1.41577,1.29981,0,0.68462,0.61666,0.65777,0.50762,0.69429,0.59888,0.64797,0.49602,1.27188,2.33364,1.52048,1.41558,0,0.000439,0.000439,0.000439
19,2400.43,1.11086,2.1253,1.38903,1.29188,0,0.68151,0.62894,0.65575,0.50228,0.66404,0.63599,0.64901,0.48811,1.27053,2.29558,1.49432,1.40583,0,0.000406,0.000406,0.000406
20,2524.05,1.09593,2.12381,1.34484,1.2742,0,0.65684,0.65716,0.66674,0.52485,0.67947,0.64261,0.65904,0.50239,1.23961,2.33991,1.472,1.39218,0,0.000373,0.000373,0.000373
21,2645.47,1.15481,2.12765,1.40178,1.34598,0,0.65227,0.65509,0.67105,0.51635,0.66222,0.65129,0.66313,0.50764,1.25231,2.29782,1.45189,1.40326,0,0.00034,0.00034,0.00034
22,2761.73,1.11594,2.03878,1.3172,1.32573,0,0.65639,0.6389,0.66656,0.51982,0.6665,0.63016,0.65328,0.49912,1.2531,2.32937,1.46367,1.42782,0,0.000307,0.000307,0.000307
